,playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,vor,overallRank,vorLow,vorHigh,adp,auctionValue,adpDiff,cost,ppdollar,espn_names,espn_id
19,2540175,LeVeon Bell,NYJ,RB,28,7,,179.7650457,157.3,204.1202143,19.96320094,17,5.667311751,5,46.82021427,49.8,21.4,3,2.95599618,,75.26374801,20,71.87593492,88.38701188,28.3333,19.655,-8.3333,22,8.171138441,Le'Veon Bell,15825
20,2543495,Davante Adams,GB,WR,28,6,,195.9420484,185.1993994,201.7521884,6.891529376,2,8.418726232,2,16.55278897,9.8,2.2,1,2.674689264,,74.33032393,21,85.18963749,64.12347536,10.9833,44.395,10.0167,49,3.998817315,Davante Adams,16800
21,2553435,David Johnson,HOU,RB,29,5,,177.2200701,161.2,194.8201318,16.64706146,18,6.564340239,5,33.62013178,47.2,20.4,3.1,2.989136546,,72.71877238,22,75.77593492,79.08692939,35.4733,18.055,-13.4733,20,8.861003504,David Johnson,2508176
22,2556214,Tyreek Hill,KC,WR,26,4,,190.5932728,164.5461997,208.6765011,19.814317,3,11.9243598,2,44.13030142,12.7,3.4,1,2.674689264,,68.98154834,23,64.53643779,71.04778811,13.3333,41.555,9.6667,46,4.143332018,Tyreek Hill,3116406
23,2540258,Travis Kelce,KC,TE,31,7,,165.6530146,154.3538003,175.8823458,10.42463933,1,23.16213288,1,21.52854545,17.5,1.2,0.4,2.550651682,,66.98749434,24,71.79800149,63.24456527,17.7433,35.05,6.2567,39,4.247513195,Travis Kelce,15847
24,2557978,James Conner,PIT,RB,25,3,,170.9753978,158.0005961,185.4464972,14.92501937,19,2.096741841,6,27.44590104,43.4,19.1,3.7,3.18797874,,66.47410013,25,72.57653105,69.71329477,24.9467,21.185,0.0533,24,7.123974909,James Conner,3045147
25,2552469,Melvin Gordon,DEN,RB,27,5,,170.3360618,148.6690015,188.074126,19.41020631,20,5.939947743,6,39.40512456,43.9,19.4,2.6,2.823434717,,65.83476416,26,63.24493641,72.34092366,35.6833,22.395,-9.6833,25,6.813442474,Melvin Gordon,2576434
26,2562734,Devin Singletary,BUF,RB,50,1,,167.4212501,126.9695976,198.3740816,31.07500743,21,7.387063892,6,71.40448399,66,26.2,3.3,3.055417277,,62.91995242,27,41.54553254,82.64087921,61.11,14.715,-34.11,17,9.84830883,Devin Singletary,4040761
27,2495454,Julio Jones,ATL,WR,31,9,,184.4533715,166.1937988,191.0886431,9.605476909,4,14.09020413,3,24.89484431,13.3,3.6,1.1,2.692057255,,62.84164705,28,66.18403689,53.4599301,15.0733,38.48,12.9267,43,4.289613292,Julio Jones,13982
28,2562502,David Montgomery,CHI,RB,50,1,,161.3709781,140.4853949,182.4488239,22.09956217,22,4.32183253,6,41.96342899,53.9,22.5,3.1,2.989136546,,56.8696804,29,55.06132986,66.71562153,44.14,14.645,-15.14,17,9.492410476,David Montgomery,4035538
29,2558266,George Kittle,SF,TE,27,3,,155.0927166,147.045202,162.1829457,7.138450187,2,25.84140892,2,15.1377437,18.6,1.8,0.4,2.550651682,,56.42719627,30,64.48940321,49.54516523,25.0633,30.105,4.9367,34,4.561550487,George Kittle,3040151
30,2532975,Russell Wilson,SEA,QB,32,8,,305.4685197,284.76,323.0297621,14.87866354,3,7.203869103,2,38.26976215,59.8,4.7,1.3,3.53783973,,55.42586521,31,60.38827778,54.19131235,66.02,16.385,-35.02,17,17.96873645,Russell Wilson,14881
31,2553728,Raheem Mostert,SF,RB,,,,158.6973944,133.4157973,176.3908595,20.18257288,23,12.05655595,6,42.97506219,62,25.1,3.2,3.022276911,,54.19609666,32,47.99173224,60.65765712,48.69,14.605,-16.69,15,10.57982629,Raheem Mostert,2576414
32,2555260,Dak Prescott,DAL,QB,27,4,,302.5215867,276.1461997,319.6856375,16.29845576,4,13.6256829,2,43.53943781,55.3,3.6,1,3.522844644,,52.47893223,33,51.77447748,50.84718772,77.54,17.46,-44.54,18,16.80675482,Dak Prescott,2577417
33,2558052,Kenny Golladay,DET,WR,27,3,,172.8844545,158.9847988,189.4912398,13.88516469,5,5.506905951,4,30.50644099,19.7,6.9,1.5,2.761529215,,51.27273003,34,58.97503689,51.86252678,36.1667,25.165,-2.1667,26,6.649402097,Kenny Golladay,2974858
34,2495466,Mark Ingram,BAL,RB,31,9,,155.4008968,142.262,164.7829698,10.34385088,24,17.68722336,7,22.52096981,52.8,22.2,3.9,3.254259472,,50.89959908,35,56.83793492,49.04976742,44.6833,14.325,-9.6833,15,10.36005978,Mark Ingram II,13981
35,2540165,DeAndre Hopkins,ARI,WR,28,7,,167.8418803,131.2288465,191.1111717,24.51680345,6,1.033893396,4,59.88232516,19.7,6.9,2.6,2.952577108,,46.23015583,36,31.21908463,53.48245869,12.3,38.805,23.7,39,4.303637957,DeAndre Hopkins,15795
36,2543468,Mike Evans,TB,WR,27,6,,166.9132168,141.6847988,189.4536325,18.97463897,7,2.740535291,4,47.76883372,24.8,9.2,2.6,2.952577108,,45.30149233,37,41.67503689,51.82491951,27.3633,24.49,9.6367,25,6.676528673,Mike Evans,16737
37,2558105,Chris Godwin,TB,WR,24,3,,166.702757,150.861997,183.6226874,16.23153353,8,6.210421536,4,32.76069035,17.3,6,2.1,2.865737157,,45.09103253,38,50.8522351,45.99397435,29.59,30.68,8.41,31,5.377508291,Chris Godwin,3116165
38,2558063,Deshaun Watson,HOU,QB,25,3,,294.0077145,284.44,317.8422817,15.9025596,5,12.36021577,2,33.40228165,64.4,5.5,1.4,3.695637374,,43.96505999,39,60.06827778,49.00383186,55.8267,14.795,-16.8267,15,19.6005143,Deshaun Watson,3122840
39,2562238,A.J. Brown,TEN,WR,,1,,161.642606,146.843997,178.8928973,13.75271862,9,2.377265762,4,32.04890024,,,,,,40.03088155,40,46.8342351,41.26418424,42.57,17.13,-2.57,18,8.98014478,A.J. Brown,4047646
40,2543496,Odell Beckham,CLE,WR,28,6,,159.3420649,145.0233979,178.7033672,16.52766629,10,1.021914845,4,33.6799693,32,12.9,3.9,3.17836098,,37.73034044,41,45.013636,41.0746542,26.7433,23.795,14.2567,24,6.639252705,Odell Beckham Jr.,16733
41,2552487,Amari Cooper,DAL,WR,26,5,,159.1886156,150.5702545,174.5129439,12.67691102,11,2.419326936,5,23.94268932,30.3,12,3.4,3.091521029,,37.57689113,42,50.56049263,36.88423085,37.2367,18.795,4.7633,19,8.37834819,Amari Cooper,2976499
42,2541785,Adam Thielen,MIN,WR,30,6,,157.4516846,146.7017123,168.720674,10.60449558,12,1.855755895,5,22.01896166,33.2,13.4,3.7,3.143625,,35.83996007,43,46.6919504,31.09196096,33.3567,21.845,9.6433,22,7.156894753,Adam Thielen,16460
44,2560813,D.J. Moore,CAR,WR,23,2,,156.0868928,135.8624706,180.4840341,20.31081243,13,1.460483095,5,44.62156355,34.6,14.3,3.8,3.16099299,,34.47516831,45,35.85270866,42.8553211,47.8933,20.37,-2.8933,21,7.432709181,DJ Moore,3915416
46,2562382,Kyler Murray,ARI,QB,50,1,,283.7840932,261.6031618,307.2960599,25.8090493,6,7.327548533,2,45.69289807,60.4,4.8,1.1,4.546789641,,33.74143866,47,37.23143961,38.45761012,70.8433,17.57,-23.8433,18,15.76578295,Kyler Murray,3917315
47,2560888,Courtland Sutton,DEN,WR,25,2,,155.1049645,139.5274647,183.9537736,21.75491438,14,0.995062172,5,44.42630882,48.3,21.1,5,3.369408872,,33.49324003,48,39.51770281,46.32506053,75.83,12.11,-27.83,13,11.93115112,Courtland Sutton,3128429
48,2557917,Kareem Hunt,CLE,RB,25,3,,137.88078,116.623994,152.3145797,14.08496575,25,7.152430297,8,35.69058565,79.9,30.2,3.2,3.022276911,,33.37948235,49,31.19992896,36.5813773,78.11,10.21,-29.11,11,12.53461637,Kareem Hunt,3059915
49,2560770,Ronald Jones,TB,RB,23,2,,137.5465668,110.5528003,153.4664693,17.364911,26,17.17445685,8,42.91366904,83.7,31.2,6,3.950207153,,33.04526908,50,25.12873522,37.73326695,102.08,7.5,-52.08,8,17.19332085,Ronald Jones II,3912550
50,2540169,Robert Woods,LAR,WR,28,7,,154.1478549,138.0419648,168.5970391,12.80475483,15,0.246460418,5,30.55507428,40.3,17.6,4.5,3.282568921,,32.5361304,51,38.03220292,30.9683261,53.8567,13.41,-2.8567,14,11.01056106,Robert Woods,15880
51,2558149,JuJu Smith-Schuster,PIT,WR,24,3,,154.0719498,147.4815991,160.442165,9.075882938,16,1.017714513,5,12.96056594,34.3,14,3.6,3.126257009,,32.46022532,52,47.47183719,22.81345203,31.5667,20.74,20.4333,21,7.336759515,JuJu Smith-Schuster,3120348
52,2557898,Cooper Kupp,LAR,WR,27,3,,153.7308391,137.2233061,171.937197,16.07738905,17,1.639303792,5,34.71389088,42.2,18.3,4.1,3.21309696,,32.11911465,53,37.21354419,34.30848397,43.4467,17.07,9.5533,18,8.540602175,Cooper Kupp,2977187
53,2560957,Mark Andrews,BAL,TE,24,2,,129.8890469,118.4309985,139.1657303,9.544621008,3,8.308894659,3,20.73473182,28.6,3,0.2,2.482094859,,31.22352664,54,35.8751997,26.52794984,70.4667,18.195,-16.4667,19,6.836265627,Mark Andrews,3116365
54,2552409,DeVante Parker,MIA,WR,27,5,,152.3776314,132.745997,171.5944725,19.4709307,18,0.755268971,5,38.84847547,53.3,23.7,4.3,3.247832941,,30.76590695,55,32.7362351,33.96575947,60.335,9.805,-5.335,10,15.23776314,DeVante Parker,2576623
55,2543509,Allen Robinson,CHI,WR,27,6,,151.8054393,142.2309985,165.6164228,11.12149276,19,0.410901966,5,23.38542434,30.8,12.1,3.8,3.16099299,,30.19371477,56,42.22123659,27.98770983,46.3467,22.875,9.6533,23,6.600236489,Allen Robinson II,16799
56,2540158,Zach Ertz,PHI,TE,30,7,,128.6135683,109.2097988,141.9042314,13.85887136,4,16.74980639,3,32.6944326,49.2,4.2,0.4,2.550651682,,29.94804807,57,26.654,29.26645092,43.9,14.65,13.1,15,8.57423789,Zach Ertz,15835
