,playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,vor,overallRank,vorLow,vorHigh,adp,auctionValue,adpDiff,cost,ppdollar,espnid,espnname
0,2557997,Christian McCaffrey,CAR,RB,24.0,3.0,,288.36117048245,264.119189269747,302.22575036293097,15.533180242088001,1,25.840324721836602,1.0,38.106561093184204,1.3,1.2,0.8,2.03145763101039,,177.22013643136398,1,168.021727769498,177.420774162016,1.9333,67.5,-0.9333,75,3.84481560643266,3117251.0,Christian McCaffrey
1,2560968,Saquon Barkley,NYG,RB,23.0,2.0,,268.68407998531,244.35499254843498,296.986985430997,24.1896494821168,2,21.4540678365339,1.0,52.631992882562294,2.2,2.2,0.7,1.99779512742692,,157.54304593422398,2,148.25753104818702,172.182009230082,2.0467,61.78,-0.0467,68,3.9512364703722,3929630.0,Saquon Barkley
2,2555224,Ezekiel Elliott,DAL,RB,25.0,4.0,,256.35761153591596,238.53919523099898,278.376831594635,17.108524603260502,3,19.356678112601198,2.0,39.8376363636363,3.2,3.1,0.9,2.06512013459385,,145.21657748483,3,142.44173373075,153.57185539372,3.4967,57.11,-0.4967,63,4.06916843707804,3051392.0,Ezekiel Elliott
3,2556075,Derrick Henry,TEN,RB,26.0,4.0,,238.102412761636,217.315797317437,246.640251862891,12.139291022013099,4,8.496094325638749,3.0,29.3244545454545,5.4,4.8,1.8,2.36808266684504,,126.96137871055001,4,121.21833581718799,121.835275661976,16.4267,45.94,-12.4267,51,4.66867476003207,3043078.0,Derrick Henry
4,2557991,Dalvin Cook,MIN,RB,25.0,3.0,,235.899454084995,217.707600596125,247.83387332339802,13.109354768073402,5,17.7948669571435,3.0,30.126272727272703,6.6,5.9,2.2,2.50273268117891,,124.75842003390899,5,121.610139095877,123.028897122483,7.76,50.67,-2.76,56,4.212490251517759,3116593.0,Dalvin Cook
5,2558019,Alvin Kamara,NO,RB,24.0,3.0,,223.31318278699902,209.44739195231003,238.697956365121,14.719973444919699,6,11.114726181531301,4.0,29.2505644128114,6.1,5.8,1.2,2.16610764534425,,112.17214873591298,6,113.349930452062,113.89298016420601,4.0033,53.83,1.9967,60,3.72188637978332,3054850.0,Alvin Kamara
6,2562377,Josh Jacobs,LVR,RB,50.0,1.0,,212.89599146870302,186.77719821162398,236.76171778457802,21.798344537021197,7,1.68664052427062,4.0,49.9845195729537,11.7,8.9,2.1,2.46907017759544,,101.75495741761699,7,90.6797367113761,111.956741583663,20.1667,41.94,-13.1667,47,4.529701946142611,4047365.0,Josh Jacobs
7,2558116,Aaron Jones,GB,RB,26.0,3.0,,211.500921742233,186.4,230.358581222057,18.510577504784397,8,0.6312405391309139,4.0,43.9585812220566,20.1,12.1,2.3,2.53639518476237,,100.35988769114701,8,90.30253849975159,105.553605021142,20.8,36.5,-12.8,41,5.158559066883741,3042519.0,Aaron Jones
8,2562722,Miles Sanders,PHI,RB,50.0,1.0,,210.917780146631,190.316393442623,226.086080739991,18.341732569878303,9,0.7091575709123671,4.0,35.7696872973677,18.1,11.3,2.2,2.50273268117891,,99.77674609554519,9,94.2189319423746,101.281104539076,26.14,42.44,-17.14,47,4.48761234354534,4045163.0,Miles Sanders
9,2557976,Joe Mixon,CIN,RB,24.0,3.0,,210.821582259574,190.1,229.53199105812197,18.189437753540197,10,1.42681083758492,4.0,39.4319910581222,11.0,8.6,2.4,2.57005768834584,,99.6805482084876,10,94.00253849975158,104.727014857207,13.1233,41.22,-3.1233,46,4.5830778752081205,3116385.0,Joe Mixon
10,2561021,Nick Chubb,CLE,RB,25.0,2.0,,209.595662891864,186.023397913562,227.295943368107,17.2444357444831,11,4.35082679663341,4.0,41.272545454545394,10.6,8.5,2.0,2.43540767401198,,98.4546288407781,11,89.92593641331351,102.490967167192,12.31,36.17,-1.31,40,5.2398915722965995,3128720.0,Nick Chubb
11,2564271,Clyde Edwards-Helaire,KC,RB,50.0,0.0,,209.193879952113,201.7,216.53335608509101,7.385917533117841,12,11.1887547676788,5.0,14.833356085091,13.3,9.1,2.8,2.7047077026797,,98.05284590102741,12,105.602538499752,91.7283798841761,11.22,47.83,0.7799999999999989,53,3.94705433871912,4242214.0,Clyde Edwards-Helaire
12,2560757,Lamar Jackson,BAL,QB,23.0,2.0,,346.09312378021303,336.34500745156504,365.360896787108,13.733611305663599,1,24.133235247965,1.0,29.015889335543605,32.3,1.8,0.7,2.8831455842765896,,96.223973864565,13,109.597772677476,96.0080676167159,42.3867,37.17,-29.3867,41,8.44129570195642,3916387.0,Lamar Jackson
13,2555230,Kenyan Drake,ARI,RB,,4.0,,201.295792238348,176.7,217.05548733233996,17.897520796645697,13,10.032783791475,5.0,40.3554873323398,21.7,12.4,3.0,2.7720327098466404,,90.154758187262,14,80.6025384997516,92.25051113142479,35.7767,41.0,-21.7767,46,4.37599548344235,2979843.0,Kenyan Drake
14,2558125,Patrick Mahomes,KC,QB,,3.0,,338.238452483201,322.203397913562,354.38682140110603,17.727251882450698,2,34.2200150682465,1.0,32.1834234875445,26.2,1.4,0.5,3.160760715639,,88.36930256755251,15,95.4561631394727,85.0339922307139,16.7967,40.39,-1.7967,45,7.51641005518224,3139477.0,Patrick Mahomes
