,playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,vor,overallRank,vorLow,vorHigh,adp,auctionValue,adpDiff,cost,ppdollar,espn_names,espn_id
164,2553833.0,Josh Lambo,JAC,K,30.0,5.0,,123.42773891482099,117.59700000000001,129.573019036376,6.74002211157034,17.0,2.23322799457391,4.0,11.976019036375899,279.0,22.6,4.9,5.08044110464663,11.0,-5.92330441567724,168.0,-1.6663333333333399,-9.02747122398918,134.3,1.0,33.7,1.0,123.42773891482099,Josh Lambo,2998120
168,2507164.0,Adrian Peterson,WAS,RB,35.0,13.0,,97.4969198922887,73.04619970193741,114.701718275481,19.620767650896603,37.0,3.7091710078288003,9.0,41.6555185735437,125.1,43.6,8.1,4.6461548346715,4.0,-7.004377795871051,172.0,-12.377865375062099,-1.03148411368002,123.9467,1.995,48.0533,2.0,48.748459946144294,Adrian Peterson,10452
171,2562729.0,Austin Seibert,CLE,K,,1.0,,121.642057760751,111.0,125.057920930233,6.03638800018128,18.0,2.8011527923650403,4.0,14.0579209302326,281.4,19.8,2.1,2.68745828418356,26.0,-7.7089855697469005,175.0,-8.263333333333339,-13.542569330132501,132.6,1.0,42.4,1.0,121.642057760751,Austin Seibert,3821683
174,2543583.0,Devonta Freeman,FA,RB,28.0,6.0,,96.56137479541741,89.0,100.40787878787901,9.89949493661167,38.0,7.6945465442696,9.0,11.407878787878802,250.3,77.8,14.8,6.866559341884019,2.0,-7.93992289274235,178.0,3.5759349230005,-15.3253236012824,111.6567,1.44,66.3433,2.0,48.280687397708704,Devonta Freeman,16944
175,2562721.0,Deebo Samuel,SF,WR,50.0,1.0,,113.364732091129,72.75499701937409,146.360445210898,31.139719106033102,41.0,1.16992116680859,8.0,73.6054481915238,107.2,44.4,9.8,4.20307240147547,6.0,-8.24699239816343,179.0,-27.254764896174898,8.73173219276663,120.53,3.885,58.47,4.0,28.341183022782396,Deebo Samuel,3126486
176,2560994.0,Mike Gesicki,MIA,TE,25.0,2.0,,90.12283617003851,77.8,102.37878870968599,11.9026578677966,14.0,2.3669546548043,5.0,24.578788709686,121.4,13.7,4.2,3.8532313218364798,1.0,-8.54268411252225,180.0,-4.755798807749611,-10.2589917767746,122.3,1.86,57.7,2.0,45.061418085019206,Mike Gesicki,3116164
178,2560965.0,Mike Badgley,LAC,K,50.0,2.0,,120.74696407974301,108.68590087143,127.035707837331,7.42726634606212,19.0,4.671005244580201,4.0,18.3498069659006,232.3,13.7,4.8,5.0564029092899805,12.0,-8.60407925075539,182.0,-10.5774324619031,-11.564782423034101,169.6667,1.0,12.3333,1.0,120.74696407974301,Michael Badgley,3123052
180,79860.0,Matthew Stafford,DET,QB,32.0,11.0,,240.91904473924703,209.878597826087,262.254451266766,25.9279664106303,14.0,1.63467253534347,5.0,52.3758534406791,99.5,12.1,2.1,5.0919204010813495,10.0,-9.123609759490618,184.0,-14.493124396135302,-6.58399852775142,125.66,5.685,58.34,6.0,40.1531741232078,Matthew Stafford,12483
181,2532956.0,Ryan Tannehill,TEN,QB,32.0,8.0,,240.830831214621,227.42,255.329488226528,12.360569498531802,15.0,4.3635062015754,5.0,27.9094882265275,129.5,18.1,3.0,4.18693458809542,17.0,-9.21182328411643,185.0,3.0482777777777703,-13.5089615679899,134.56,3.67,50.44,4.0,60.207707803655204,Ryan Tannehill,14876
182,497322.0,Emmanuel Sanders,NO,WR,33.0,10.0,,112.293775261707,98.56199701937409,132.68106137395202,17.409374540569402,42.0,0.41951952578648405,8.0,34.1190643545778,111.9,46.6,7.0,3.7167686760517,20.0,-9.31794922758624,186.0,-1.44776489617486,-4.94765164417933,104.9133,2.2,81.0867,2.0,56.1468876308533,Emmanuel Sanders,13295
184,497326.0,Golden Tate,NYG,WR,32.0,10.0,,112.09584658693501,94.2,131.500758020433,17.991781913068603,43.0,0.574175001982283,8.0,37.3007580204333,131.8,51.9,6.9,3.699400685858,23.0,-9.515877902357811,188.0,-5.80976191554893,-6.1279549976979695,142.88,1.22,45.12,2.0,56.047923293467505,Golden Tate,13217
185,2562674.0,Diontae Johnson,PIT,WR,,1.0,,111.652664884905,94.92263064541771,127.556830387802,15.4756136320085,44.0,2.2333688993860097,8.0,32.6341997423847,101.3,42.7,7.5,3.8036086270202296,16.0,-9.959059604387631,189.0,-5.08713127013122,-10.0718826303289,111.6,1.7,77.4,2.0,55.8263324424526,Diontae Johnson,3932905
187,2559193.0,Blake Jarwin,DAL,TE,26.0,3.0,,88.5015582450832,80.2,97.461103202847,9.110813005408241,15.0,1.5616670098436,6.0,17.261103202847,144.5,17.4,3.1,3.47616879450554,7.0,-10.1639620374775,191.0,-2.35579880774962,-15.1766772836136,140.465,1.425,50.535,2.0,44.2507791225416,Blake Jarwin,2991767
188,2555295.0,Sterling Shepard,NYG,WR,,4.0,,111.390678285,97.430998509687,123.22774957225599,10.8216397535924,45.0,4.04838497927138,9.0,25.796751062568802,116.0,47.2,5.1,3.38677686237129,40.0,-10.2210462042926,192.0,-2.57876340586191,-14.400963445875401,122.8733,1.425,69.1267,2.0,55.6953391425002,Sterling Shepard,2976592
194,2562378.0,T.J. Hockenson,DET,TE,50.0,1.0,,87.01020478538521,65.1,101.945555738235,14.4368628079705,16.0,0.24561412740695202,6.0,36.8455557382353,,,,,18.0,-11.6553154971756,198.0,-17.455798807749602,-10.6922247482253,133.8633,1.705,64.1367,2.0,43.505102392692606,T.J. Hockenson,4036133
195,2558207.0,Jonnu Smith,TEN,TE,25.0,3.0,,86.86957768509409,75.1182362831778,96.3102211728138,10.213504316040302,17.0,0.289138456118692,6.0,21.191984889636103,130.3,14.6,3.2,3.51044720608108,5.0,-11.7959425974667,199.0,-7.43756252457187,-16.327559313646802,130.86,1.57,68.14,2.0,43.434788842547,Jonnu Smith,3054212
196,2543466.0,Eric Ebron,PIT,TE,27.0,6.0,,86.65960363086229,62.6,111.101545454545,23.033960216954004,18.0,1.5490241877117898,6.0,48.5015454545455,153.6,19.3,2.7,3.33905514820338,13.0,-12.005916651698401,200.0,-19.955798807749602,-1.5362350319151101,126.08,1.075,73.92,1.0,86.65960363086229,Eric Ebron,16732
197,2560995.0,Dallas Goedert,PHI,TE,26.0,2.0,,86.50127482708841,76.3076005961252,101.745236959762,11.632091444056801,19.0,4.19674275980709,6.0,25.437636363636397,138.0,16.4,3.3,3.54472561765662,3.0,-12.1642454554724,201.0,-6.24819821162444,-10.892543526698999,125.935,1.52,75.065,2.0,43.250637413544204,Dallas Goedert,3121023
198,2555334.0,Jared Goff,LAR,QB,26.0,4.0,,237.737913193185,224.70629589372,249.616251222057,10.9428949300421,16.0,5.78535487494449,5.0,24.909955328336803,126.6,17.2,2.8,3.9356487256401604,19.0,-12.304741305551698,202.0,0.334573671497566,-19.2221985724609,113.9,3.845,88.1,4.0,59.4344782982963,Jared Goff,3046779
207,2552461.0,Duke Johnson,HOU,RB,27.0,5.0,,91.0141229735023,68.3763994038748,106.986165098365,15.982263894107499,39.0,4.763660352984269,10.0,38.6097656944898,143.9,48.5,5.1,3.6519438612927697,14.0,-13.4871747146574,211.0,-17.0476656731247,-8.74703729079656,108.5333,1.42,102.4667,2.0,45.507061486751205,Duke Johnson,2969962
216,2552597.0,Breshad Perriman,NYJ,WR,27.0,5.0,,107.44791368603799,82.3,126.943277826222,20.101322641442,46.0,0.8727982712369742,9.0,44.6432778262218,141.2,55.0,8.6,3.994656519151,10.0,-14.1638108032547,221.0,-17.7097619155489,-10.6854351919094,152.43,1.3,68.57,2.0,53.7239568430191,Breshad Perriman,2972460
218,2560810.0,Anthony Miller,CHI,WR,26.0,2.0,,107.23667292542,92.2737118927932,118.133647008302,14.2136702523209,47.0,2.29689824112602,9.0,25.8599351155091,118.7,48.1,7.0,3.7167686760517,20.0,-14.3750515638731,223.0,-7.73605002275572,-19.495066009829,136.6067,1.37,86.3933,2.0,53.61833646270989,Anthony Miller,3050487
222,2560800.0,Baker Mayfield,CLE,QB,25.0,2.0,,235.196736832905,214.209597615499,253.666302241834,19.208523364240502,17.0,7.26618250548981,5.0,39.4567046263345,129.6,18.7,2.6,4.6726350713870195,14.0,-14.8459176658319,227.0,-10.162124606723,-15.172147552683699,106.2367,4.05,120.7633,4.0,58.7991842082263,Baker Mayfield,3052587
223,2540232.0,Jack Doyle,IND,TE,30.0,7.0,,83.7198840592127,69.5069970193741,94.57621762812191,14.530910691931501,20.0,2.92529452582421,6.0,25.069220608747802,154.3,19.9,2.8,3.37333355977892,11.0,-14.945636223348,228.0,-13.048801788375599,-18.0615628583387,139.99,1.26,88.01,2.0,41.8599420296064,Jack Doyle,16504
226,2552415.0,Jamison Crowder,NYJ,WR,27.0,5.0,,105.91355790418301,96.004102533532,111.44781919661699,6.2359054696747895,48.0,2.28368752347683,9.0,15.4437166630853,108.1,44.6,6.4,3.6125607348894704,32.0,-15.698166585110302,231.0,-4.00565938201689,-26.1808938215139,137.5233,1.915,93.4767,2.0,52.95677895209129,Jamison Crowder,2576716
232,2558066.0,Curtis Samuel,CAR,WR,24.0,3.0,,103.96599146440501,87.21699701937409,117.92249873521601,16.7133904923963,49.0,1.37612444219268,9.0,30.7055017158424,143.6,55.8,6.9,3.699400685858,23.0,-17.645733024888,237.0,-12.7927648961749,-19.7062142829148,128.95,1.205,108.05,2.0,51.9829957322024,Curtis Samuel,3121427
233,2560894.0,Ian Thomas,CAR,TE,24.0,2.0,,80.8891800753499,71.06199701937409,90.02975502649151,10.3369574098194,21.0,3.16489464922782,6.0,18.967758007117396,177.4,23.1,2.7,3.33905514820338,13.0,-17.776340207210897,238.0,-11.4938017883755,-22.608025459969102,152.555,1.045,85.445,1.0,80.8891800753499,Ian Thomas,4045305
234,2562682.0,Alexander Mattison,MIN,RB,,1.0,,86.7195335287932,71.2,102.528427120708,18.956105769712398,40.0,1.01045708344157,10.0,31.328427120707698,126.3,44.5,4.4,3.41996130083773,20.0,-17.7817641593665,239.0,-14.2240650769995,-13.2047752684534,120.78,3.07,118.22,3.0,28.906511176264402,Alexander Mattison,4048244
