"id","first_name","last_name","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank"
"0510","Pittsburgh","Steelers","PIT","DST",NA,50,"DST","robust",124.51,1,7.35000000000001,28.206465,97.2625,143.975,1,7.83666666666667,89,-0.000833333333332575,105,11.45,81
"0510","Pittsburgh","Steelers","PIT","DST",NA,50,"DST","weighted",126.967713678288,1,8.15530676889006,25.63726687898,95,144.11925872093,1,9.16351320352736,88,0,106,11.3965334302326,82
"0511","Denver","Broncos","DEN","DST",NA,50,"DST","average",101.467666666667,15,2.78766666666667,6.57800501672049,90.6,106,10,-15.6911111111111,168,-6.66333333333334,125,-26.525,207
"0511","Denver","Broncos","DEN","DST",NA,50,"DST","robust",101.35,15,2.51249999999999,7.272153,90.6,106,10,-15.3233333333333,165,-6.66333333333334,125,-26.525,207
"0511","Denver","Broncos","DEN","DST",NA,50,"DST","weighted",100.470537252833,15,1.62436459391317,7.628982156441,90,105.24817877907,10,-17.333663221927,170,-5,118,-27.4745465116279,208
"0512","Kansas City","Chiefs","KCC","DST",NA,50,"DST","average",107.943666666667,8,0.749000000000009,11.5695181403549,88.0825,115.625,6,-9.21511111111111,143,-9.18083333333334,132,-16.9,169
"0512","Kansas City","Chiefs","KCC","DST",NA,50,"DST","robust",108.56,8,1.97,7.168371,88.0825,115.625,6,-8.11333333333333,133,-9.18083333333334,132,-16.9,169
"0512","Kansas City","Chiefs","KCC","DST",NA,50,"DST","weighted",107.191811980919,10,1.93378741896221,14.154735185691,84,115.50011627907,6,-10.6123884938418,150,-11,133,-17.2226090116279,169
"0513","Las Vegas","Raiders","LVR","DST",NA,50,"DST","average",82,32,NA,19.1321718578942,64.42,96.64,17,-35.1587777777778,225,-32.8433333333333,214,-35.885,231
"0513","Las Vegas","Raiders","LVR","DST",NA,50,"DST","robust",83.05,32,NA,9.19212,64.42,96.64,17,-33.6233333333333,225,-32.8433333333333,214,-35.885,231
"0513","Las Vegas","Raiders","LVR","DST",NA,50,"DST","weighted",82.3357789751232,31,NA,19.2618153643523,63.8,95.2933720930233,17,-35.4684214996371,224,-31.2,204,-37.4293531976744,234
"0514","Los Angeles","Chargers","LAC","DST",NA,50,"DST","average",87.8143333333333,30,5.65049999999999,10.3859077600372,71.24,92.976,15,-29.3444444444444,217,-26.0233333333333,194,-39.549,239
"0514","Los Angeles","Chargers","LAC","DST",NA,50,"DST","robust",89.94,29,4.255,4.29953999999999,71.24,92.976,15,-26.7333333333333,208,-26.0233333333333,194,-39.549,239
"0514","Los Angeles","Chargers","LAC","DST",NA,50,"DST","weighted",86.8968200076271,30,5.0734660020961,11.3846293199708,67.3,92.3654565217391,15,-30.9073804671333,220,-27.7,190,-40.3572687689585,241
"0515","Seattle","Seahawks","SEA","DST",NA,50,"DST","average",103.740333333333,12,0.520666666666671,13.33413726743,84.3,117.225,9,-13.4184444444444,158,-12.9633333333333,144,-15.3,160
"0515","Seattle","Seahawks","SEA","DST",NA,50,"DST","robust",102.89,13,0.784999999999997,8.00604,84.3,117.225,9,-13.7833333333333,160,-12.9633333333333,144,-15.3,160
"0515","Seattle","Seahawks","SEA","DST",NA,50,"DST","weighted",103.534832763585,13,2.93794829109891,16.9650945908163,81,116.975251453488,9,-14.2693677111749,161,-14,140,-15.7474738372093,162
"0516","Dallas","Cowboys","DAL","DST",NA,50,"DST","average",94.9293333333333,24,4.34050000000001,18.8649940365747,69.36,110.52,12,-22.2294444444445,189,-27.9033333333333,198,-22.005,195
"0516","Dallas","Cowboys","DAL","DST",NA,50,"DST","robust",97.09,20,0.302500000000009,17.34642,69.36,110.52,12,-19.5833333333333,179,-27.9033333333333,198,-22.005,195
"0516","Dallas","Cowboys","DAL","DST",NA,50,"DST","weighted",93.5727882022228,24,3.7394396215925,21.1641575570145,67.2,110.592412790698,12,-24.2314122725375,193,-27.8,191,-22.1303125,195
"0517","New York","Giants","NYG","DST",NA,50,"DST","average",89.1476666666667,28,1.32333333333334,16.5015308380768,65.74,100.76,15,-28.0111111111111,211,-31.5233333333333,209,-31.765,221
"0517","New York","Giants","NYG","DST",NA,50,"DST","robust",91.665,27,1.55,10.763676,65.74,100.76,15,-25.0083333333333,200,-31.5233333333333,209,-31.765,221
"0517","New York","Giants","NYG","DST",NA,50,"DST","weighted",87.6400925466066,28,0.529613867051538,18.0172009397114,64,100.603927325581,15,-30.1641079281537,216,-31,201,-32.1187979651163,222
"0518","Philadelphia","Eagles","PHI","DST",NA,50,"DST","average",103.345,13,1.06399999999999,11.9181716998316,84.275,112.2,8,-13.8137777777778,159,-12.9883333333333,146,-20.325,185
"0518","Philadelphia","Eagles","PHI","DST",NA,50,"DST","robust",103.81,11,0.480000000000004,11.542041,84.275,112.2,8,-12.8633333333333,153,-12.9883333333333,146,-20.325,185
"0518","Philadelphia","Eagles","PHI","DST",NA,50,"DST","weighted",100.72323169214,14,0.644856222436687,13.4090545425928,82,110.628995639535,8,-17.0809687826206,169,-13,136,-22.0937296511628,194
"0519","Arizona","Cardinals","ARI","DST",NA,50,"DST","average",90.0163333333333,26,0.762500000000003,16.7246082166369,66.88,101.022,13,-27.1424444444445,207,-30.3833333333333,206,-31.503,220
"0519","Arizona","Cardinals","ARI","DST",NA,50,"DST","robust",96.32,23,1.07749999999999,5.1891,66.88,101.022,13,-20.3533333333333,184,-30.3833333333333,206,-31.503,220
"0519","Arizona","Cardinals","ARI","DST",NA,50,"DST","weighted",87.8080925206605,27,0.325977571615653,18.1411832951558,65,101.040411337209,13,-29.9961079540999,214,-30,198,-31.6823139534884,221
"0520","Washington","FootballTeam","WAS","DST",NA,50,"DST","average",97.5403333333333,19,0.281000000000006,20.0280732972495,73.5,119.68,11,-19.6184444444444,179,-23.7633333333333,187,-12.845,145
"0520","Washington","FootballTeam","WAS","DST",NA,50,"DST","robust",97.155,18,0.0474999999999994,16.071384,73.5,119.68,11,-19.5183333333333,177,-23.7633333333333,187,-12.845,145
"0520","Washington","FootballTeam","WAS","DST",NA,50,"DST","weighted",96.6533384028334,19,0.93593008098162,22.9406720640192,71,118.377255813953,11,-21.1508620719269,180,-24,178,-14.3454694767442,155
