"playerId","player","team","position","age","exp","bye","lower","upper","sdPts","dropoff","tier","ptSpread","overallECR","positionECR","sdRank","risk","sleeper","actualPoints","games","points","vor","vorLow","vorHigh","overallRank","positionRank","ptsGame","vorGame","vorGameLow","vorGameHigh","adp","auctionValue","adpDiff","cost","ppdollar"
2560968,"Saquon Barkley","NYG","RB",22,1,11,255.212,305.015872159283,21.014148875605,20.3525053203472,1,49.8038721592835,1.5,1.5,0.7,1.63853766931258,NA,192.1,16,278.642797767406,158.024824566018,176.95946602796,156.07239841504,1,1,17.4151748604629,9.87655153537615,11.0599666267475,9.75452490094001,1.3125,67.9167,-0.3125,75,3.71523730356542
2557997,"Christian McCaffrey","CAR","RB",23,2,7,231.1,283.69597558324,25.7829725892774,14.1022149062914,1,52.5959755832398,2.7,2.7,1.1,1.76815607635792,NA,353.2,16,263.281581766532,142.663608565144,152.84746602796,134.752501838997,2,2,16.4550988604083,8.91647553532151,9.55296662674748,8.42203136493728,3.2625,64.8667,-1.2625,72,3.65668863564628
2555224,"Ezekiel Elliott","DAL","RB",24,3,8,203.132,274.561501948052,25.309625745992,20.9354117084406,2,71.4295019480519,6.6,5.2,3.6,2.5782711203913,NA,255.7,15.6934,253.299003127586,132.681029926198,126.378980210199,128.472157519433,3,3,16.1404796365087,8.60185631142198,8.05300191228153,8.18638137812282,5.515,58.8467,-2.515,65,3.8969077404244
2558019,"Alvin Kamara","NO","RB",23,2,9,198.614485596708,268.981085877435,24.3536431844274,27.3925472936322,2,70.3666002807275,2.7,2.6,1.1,1.76815607635792,NA,166,16,245.059730592895,124.441757391508,120.361951624667,120.037612133192,4,4,15.316233162056,7.77760983696922,7.52262197654172,7.50235075832451,2.745,65.7533,1.255,73,3.35698261086158
2557991,"Dalvin Cook","MIN","RB",24,2,12,195.585870868499,242.136844077103,22.7235259576463,5.96678566680936,3,46.5509732086032,14.9,9.9,2.4,2.18941589925528,NA,237.4,16,219.667452245395,99.0494790440075,117.333336896459,93.1933703328594,5,5,13.7292157653372,6.19059244025047,7.33333355602869,5.82458564580371,16.8275,40.9933,-11.8275,46,4.77537939663903
2561021,"Nick Chubb","CLE","RB",24,1,7,191.105706447188,236.790794390843,21.5160137039087,4.79887931462287,3,45.6850879436548,7.5,6.1,1.9,2.0273928904486,NA,216.2,16,215.666914353131,95.0489411517432,112.853172475148,87.8473206465995,6,6,13.4791821470707,5.94055882198395,7.05332327969673,5.49045754041247,12.18,46.2433,-6.18,51,4.22876302653198
2556075,"Derrick Henry","TEN","RB",25,3,11,154.641690888936,242.531004601257,32.8478154089908,1.73276753106569,3,87.8893137123211,32.4,17.1,3.9,2.67548492567531,NA,273.6,16,211.734418804041,91.1164456026531,76.3891569168954,93.5875308570136,7,7,13.2334011752526,5.69477785016582,4.77432230730597,5.84922067856335,38.3125,19.8133,-31.3125,22,9.62429176382005
2552475,"Todd Gurley","ATL","RB",25,4,9,165.819478737997,238.812073929237,23.6220410711898,0.676706086351345,3,72.9925951912398,16.5,10.5,3.9,2.67548492567531,NA,184.4,16,210.001651272975,89.3836780715874,87.5669447659569,89.8686001849938,8,8,13.125103204561,5.58647987947421,5.47293404787231,5.61678751156211,14.7425,43.6267,-6.7425,48,4.37503440152032
2552475,"Todd Gurley","LAR","RB",25,4,9,165.819478737997,238.812073929237,23.6220410711898,2.4607904213112,3,72.9925951912398,16.5,10.5,3.9,2.67548492567531,NA,184.4,16,210.001651272975,89.3836780715874,87.5669447659569,89.8686001849938,8,8,13.125103204561,5.58647987947421,5.47293404787231,5.61678751156211,14.7425,43.6267,-6.7425,48,4.37503440152032
2557976,"Joe Mixon","CIN","RB",23,2,9,187.016964354301,218.092816293262,15.5899060747698,2.97247737682056,3,31.0758519389604,14.5,9.6,2.6,2.25422510277795,NA,190.4,16,208.648239100273,88.0302658988848,108.764430382261,69.1493425490185,9,9,13.040514943767,5.5018916186803,6.79777689889132,4.32183390931366,17.3475,44.1833,-8.3475,49,4.25812732857699
2540258,"Travis Kelce","KC","TE",30,6,12,166.387903225806,189.732312138675,10.3198612049315,28.6592185066246,1,23.3444089128688,15.4,1,0,2.16226776383565,NA,156.3,16,178.911596726018,87.3666994602399,95.1154413590648,69.4445182528161,10,1,11.1819747953761,4.99526789368078,5.92302314096376,4.34028239080101,15.845,41.5033,-5.845,46,3.88938253752213
2540175,"LeVeon Bell","NYJ","RB",27,6,4,161.1,230.3032132625,27.6843710281259,2.2216148205394,3,69.2032132625,12.3,8.7,2.5,2.22182050101661,NA,146,16,206.433482603056,85.8155094016677,82.8474660279597,81.3597395182567,11,10,12.902092662691,5.36346933760423,5.17796662674748,5.08498371989105,8.58,52.1933,2.42,58,3.55919797591475
2557978,"James Conner","PIT","RB",24,2,7,160.697393689986,225.6364275,26.8626189142413,1.41234612266493,3,64.9390338100137,9.2,7.3,2.4,2.18941589925528,NA,110.5,16,204.918040843849,84.3000676424608,82.4448597179459,76.6929537557567,12,11,12.8073775527405,5.2687542276538,5.15280373237162,4.7933096097348,10.89,49.6733,1.11,55,3.72578256079725
2553435,"David Johnson","ARI","RB",28,4,12,162.848696844993,222.061523525481,21.5236809029395,2.4738880249985,3,59.2128266804883,7.4,6.1,2.3,2.15701129749394,NA,104.5,16,203.505694721184,82.8877215197958,84.5961628729528,73.1180497812382,13,12,12.719105920074,5.18048259498724,5.28726017955955,4.56987811132739,7.3575,52.2033,5.6425,58,3.50871887450317
